id;emergency_number;full_name
1;Sleek Granite Car Integration Handcrafted;Tasty backing up Cambridgeshire
2;Borders Internal;open-source Ouguiya
3;AGP circuit;optical deposit
4;Pizza Fish next-generation;UIC-Franc
5;Generic El Salvador Colon US Dollar purple;XSS RSS Outdoors
6;Music copying Reduced;Chair connecting synthesizing
7;Adaptive black;Money Market Account
8;New York Concrete expedite;Solomon Islands
9;Wooden radical Beauty;Facilitator 24/365
10;Sausages bypass;Directives Baht Tasty Plastic Keyboard
